Table ES-4:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Chapter/IPCC Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter/IPCC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,LULUCF Sector Net Total b,-900.8,-898.6,-886.2,-867.5,-883.5,-855.3,-871.1,-855.8,-862.8,-856.6,-854,-852.3,-815.7,-837,-735.1,-788.1,-847.3,-798.8,-791.7,-756.2,-783.9,-800.6,-807,-788.5,-798.5,-763.8,-842.8,-766.1,-801.4,-789.2
,Forest land,-884.1,-877.8,-875.2,-872.1,-865.8,-856.8,-853.1,-852.6,-852.7,-838.7,-812.9,-816.6,-772.7,-800.1,-700.5,-751.4,-808.8,-770.1,-763.6,-736.8,-774.5,-762.6,-760.8,-767.6,-789.4,-749.5,-814.7,-740,-781.4,-774.6
,Cropland,28.6,23.5,27.6,40.8,33.5,45,28.7,40.1,46,38.2,31.7,28.7,21.5,29.2,25.9,23.2,25.8,22,30.5,39.8,36.5,20.4,27,39,43.2,43.2,31.7,32.3,37.7,39.7
,Grassland,2.2,2.4,4.4,4,-14.4,-9.1,-13.2,-11.8,-24.2,-23.6,-41.6,-34.1,-35.9,-37.2,-31.2,-29.4,-42.3,-27.8,-32.3,-30.8,-15.6,-16.6,-30.3,-15,-5.5,-10.1,-13.7,-12.5,-11.9,-8
,Wetlands,-2.8,-2.9,-2.9,-2.9,-2.9,-2.8,-3,-2.8,-2.7,-2.6,-2.5,-1.8,-1.9,-1.9,-1.8,-1.9,6.8,7.1,7.1,7.2,7.2,-3.5,-3.9,-3.9,-3.9,-3.9,-3.9,-3.8,-3.9,-3.9
,Settlements,-44.7,-43.8,-40.1,-37.3,-33.9,-31.6,-30.6,-28.9,-29.2,-29.9,-28.7,-28.4,-26.7,-27,-27.5,-28.5,-28.8,-30.1,-33.4,-35.6,-37.5,-38.3,-39,-41,-43,-43.5,-42.2,-42.1,-42,-42.4
,Net Emission (Sources and Sinks) c,"5,541.90","5,475.00","5,600.10","5,736.90","5,808.30","5,920.50","6,110.00","6,180.70","6,220.50","6,268.80","6,459.70","6,350.70","6,428.60","6,464.30","6,680.30","6,635.00","6,497.20","6,650.80","6,433.00","6,015.80","6,207.20","6,026.80","5,778.90","5,976.10","6,026.40","5,907.30","5,677.50","5,717.20","5,870.00","5,769.10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Total emissions without LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b The LULUCF Sector Net Total is the sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes in units of MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Net emissions with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
