New EF correspondence table,,,,,,,,
,,,,,,,,
,,,,,,,,
Sector,Subsector,Energy carrier,Energy carrier type,End Use Application,Scope,GREET Version,GREET Tab,GREET Pathway
Residential,-,Electricity,U.S. Average Grid Mix,Space Cooling,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Space Heating,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Televisions and Related Equipment,,GREET1_2020,,
Transportation,On Road,Electricity,U.S. Average Grid Mix,Transit Bus,,GREET1_2020,,
Transportation,Rail,Electricity,U.S. Average Grid Mix,Transit Rail,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Electricity,U.S. Average Grid Mix,Transportation Equipment Consumption,,GREET1_2020,,
Commercial,-,Electricity,U.S. Average Grid Mix,Ventilation,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Water Heating,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Electricity,U.S. Average Grid Mix,Wood Products Consumption,,GREET1_2020,,
Transportation,Marine,Gasoline,Petroleum Gasoline,Recreational Boats,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Hydrocarbon Gas Liquid Feedstocks,-,Feedstocks,,GREET1_2020,,
Commercial,On Road,Hydrogen,Natural Gas,Commercial Light Trucks,,GREET1_2020,,
Commercial,On Road,Hydrogen,Natural Gas,Freight Trucks,,GREET1_2020,,
Transportation,On Road,Hydrogen,Natural Gas,Intercity Bus,,GREET1_2020,,
Commercial,On Road,Hydrogen,Natural Gas,Light-Duty Vehicle,,GREET1_2020,,
Transportation,On Road,Hydrogen,Natural Gas,School Bus,,GREET1_2020,,
Transportation,On Road,Hydrogen,Natural Gas,Transit Bus,,GREET1_2020,,
Transportation,Aviation,Jet Fuel,Petroleum,Air Transportation,,GREET1_2020,,
Transportation,Military,Jet Fuel,Petroleum,Military Use,,GREET1_2020,,
Transportation,Rail,Liquefied Natural Gas,U.S. Average Mix,Commuter Rail,,GREET1_2020,,
Transportation,Marine,Liquefied Natural Gas,U.S. Average Mix,Domestic Shipping,,GREET1_2020,,
Transportation,Rail,Liquefied Natural Gas,U.S. Average Mix,Freight Rail,,GREET1_2020,,
Transportation,Rail,Liquefied Natural Gas,U.S. Average Mix,Intercity Rail,,GREET1_2020,,
Transportation,Marine,Liquefied Natural Gas,U.S. Average Mix,International Shipping,,GREET1_2020,,
Transportation,Refining Industry,Liquefied Petroleum Gas,Petroleum,-,,GREET1_2020,,
Commercial,On Road,Liquified Natural Gas,U.S. Average Mix,Freight Trucks,,GREET1_2020,,
Transportation,Other,Lubricants,Petroleum,Lubricants,,GREET1_2020,,
Industrial,Cement and Lime Industry,Metallurgical Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Metallurgical Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Metallurgical Coal,Fossil Coal,Balance of Manufacturing Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Metallurgical Coal,Fossil Coal,Fabricated Metal Products Consumption,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Metallurgical Coal,Fossil Coal,Plastics Consumption,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Metallurgical Coal,Fossil Coal,Wood Products Consumption,,GREET1_2020,,
Commercial,-,Metallurgical Coal,U.S. Average Mix,Cooking,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Cellulosic",Commercial Light Trucks,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Motor Gasoline,"Ethanol, Cellulosic",Construction,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Cellulosic",Freight Trucks,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Cellulosic",Intercity Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Cellulosic",Light-Duty Vehicle,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Motor Gasoline,"Ethanol, Cellulosic",Mining,,GREET1_2020,,
Agriculture,-,Motor Gasoline,"Ethanol, Cellulosic",On farm energy use,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Cellulosic",School Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Cellulosic",Transit Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Conventional",Commercial Light Trucks,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Motor Gasoline,"Ethanol, Conventional",Construction,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Conventional",Freight Trucks,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Conventional",Intercity Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Conventional",Light-Duty Vehicle,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Motor Gasoline,"Ethanol, Conventional",Mining,,GREET1_2020,,
Agriculture,-,Motor Gasoline,"Ethanol, Conventional",On farm energy use,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Conventional",School Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,"Ethanol, Conventional",Transit Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,Petroleum Gasoline,Commercial Light Trucks,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Motor Gasoline,Petroleum Gasoline,Construction,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,Petroleum Gasoline,Freight Trucks,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,Petroleum Gasoline,Intercity Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,Petroleum Gasoline,Light-Duty Vehicle,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Motor Gasoline,Petroleum Gasoline,Mining,,GREET1_2020,,
Agriculture,-,Motor Gasoline,Petroleum Gasoline,On farm energy use,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,Petroleum Gasoline,School Bus,,GREET1_2020,,
Transportation,On Road,Motor Gasoline,Petroleum Gasoline,Transit Bus,,GREET1_2020,,
Industrial,Food Industry,Natural Gas,U.S. Average Mix,-,,GREET1_2020,,
Industrial,Paper Industry,Natural Gas,U.S. Average Mix,-,,GREET1_2020,,
Industrial,Glass Industry,Natural Gas,U.S. Average Mix,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Natural Gas,U.S. Average Mix,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Natural Gas,U.S. Average Mix,-,,GREET1_2020,,
Industrial,Aluminum Industry,Natural Gas,U.S. Average Mix,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Natural Gas,U.S. Average Mix,Balance of Manufacturing Consumption,,GREET1_2020,,
Residential,-,Natural Gas,U.S. Average Mix,Clothes Dryers,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Natural Gas,U.S. Average Mix,Computers Consumption,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Natural Gas,U.S. Average Mix,Construction,,GREET1_2020,,
Residential,-,Natural Gas,U.S. Average Mix,Cooking,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Natural Gas,U.S. Average Mix,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Natural Gas,U.S. Average Mix,Fabricated Metal Products Consumption,,GREET1_2020,,
Industrial,Refining Industry,Natural Gas,U.S. Average Mix,Feedstocks,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Natural Gas,U.S. Average Mix,Feedstocks,,GREET1_2020,,
Transportation,Refining Industry,Natural Gas,U.S. Average Mix,Gas-to-Liquids Heat,,GREET1_2020,,
Transportation,Refining Industry,Natural Gas,U.S. Average Mix,Heat and Power,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Natural Gas,U.S. Average Mix,Heat and Power,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Natural Gas,U.S. Average Mix,Machinery Consumption,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Natural Gas,U.S. Average Mix,Mining,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Natural Gas,U.S. Average Mix,Natural Gas Liquefaction for Export,,GREET1_2020,,
Industrial,-,Natural Gas,U.S. Average Mix,On farm energy use,,GREET1_2020,,
Residential,-,Natural Gas,U.S. Average Mix,Other Uses,,GREET1_2020,,
Transportation,Other,Natural Gas,U.S. Average Mix,Pipeline Fuel Natural Gas,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Natural Gas,U.S. Average Mix,Plastics Consumption,,GREET1_2020,,
