Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Average Annual Change
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,International Bunker Fuels a,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,N2O c,18,18.4,18.7,18.9,19.4,19.6,19.9,20.2,20.7,21.1,21.3,21.8,22.2,22.7,23.2,23.2,23.8,23.6,23.3,23.1,23.5,23.7,24.5,24.7,24.7,24.4,24.7,25,24.7,22.2
,Stationary Combustion,+,+,+,+,+,+,+,+,+,-0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.2,-0.2,+
,Mobile Combustion,2.7,2.8,2.7,2.7,2.8,2.8,2.9,3,3.1,2.9,2.8,3.5,3.6,3.8,4.2,4.2,4.4,4.1,3.9,3.8,4,3.9,3.9,4,3.9,3.4,3.4,3.6,3.6,3.5
,Adipic Acid Production,+,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+
,Nitric Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.2,+
,Manure Management,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Agricultural Soil Management,+,+,+,+,+,+,+,+,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.1,0.2
,Field Burning of Agricultural Residues,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Wastewater Treatment,15.3,15.7,16,16.2,16.7,16.7,17.1,17.1,17.5,18.1,18.3,18.1,18.3,18.5,18.7,18.6,19,19,18.9,18.8,19.1,19.3,20.1,20.2,20.3,20.6,21,21.4,21.1,18.5
,N2O from Product Uses,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.2,+
,Electronics Industry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+
,Natural Gas Systems,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Petroleum Systems,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
