,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Generation Type,Year,Energy Unit,Electricity Production
161,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2031,BkWh,34.21139328657508
162,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2031,BkWh,1.7865645786528916
163,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2031,BkWh,11.451405110303758
164,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2031,BkWh,6.722482086113461
165,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2031,BkWh,-5.6362582440897
166,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2031,BkWh,895.3481605621691
167,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2031,BkWh,2.690717563145879
168,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2031,BkWh,905.2050093275482
169,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2031,BkWh,36.23879331951373
170,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2032,BkWh,20.522443330772266
171,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2032,BkWh,323.10561340662576
172,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2032,BkWh,272.1137922007161
173,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2032,BkWh,1.323516698755684
174,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2032,BkWh,20.73289893778699
175,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2032,BkWh,0.496481251208399
176,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2032,BkWh,1015.4168852371555
177,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2032,BkWh,705.8554345652565
178,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2032,BkWh,34.17583883142317
179,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2032,BkWh,1.784233570399185
180,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2032,BkWh,11.436463965635602
181,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2032,BkWh,6.679913223911088
182,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2032,BkWh,-6.7528759849292905
183,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2032,BkWh,954.7761616377946
184,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2032,BkWh,2.4775092327100903
185,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2032,BkWh,919.9036353369703
186,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2032,BkWh,36.39819629436298
187,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2033,BkWh,21.681319914527897
188,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2033,BkWh,331.5342604742677
189,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2033,BkWh,271.80191041914236
190,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2033,BkWh,1.5742355088216753
191,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2033,BkWh,21.01676853131423
192,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2033,BkWh,0.49631607651634835
193,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2033,BkWh,992.7372760133733
194,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2033,BkWh,665.8725736678348
195,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2033,BkWh,34.16601314506333
196,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2033,BkWh,1.78363997249429
197,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2033,BkWh,11.432659160501322
198,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2033,BkWh,6.67327673956399
199,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2033,BkWh,-8.112163304018603
200,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2033,BkWh,999.9409606558279
201,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2033,BkWh,2.4290705549882703
202,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2033,BkWh,960.7740282606396
203,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2033,BkWh,36.60197206601848
204,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2034,BkWh,22.407971565173714
205,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2034,BkWh,329.13475429413984
206,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2034,BkWh,271.21372544740564
207,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2034,BkWh,1.845599750390288
208,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2034,BkWh,21.783319123485704
209,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2034,BkWh,0.4958251349299717
210,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2034,BkWh,969.6689071038473
211,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2034,BkWh,659.0190072657879
212,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2034,BkWh,47.869598438351176
213,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2034,BkWh,1.7818756471398354
214,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2034,BkWh,11.421350302919766
215,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2034,BkWh,6.640325890845411
216,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2034,BkWh,-9.430007646528447
217,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2034,BkWh,1041.4547757171235
218,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2034,BkWh,2.319198401675034
219,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2034,BkWh,972.1045860057301
220,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2034,BkWh,36.72031123133733
221,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2035,BkWh,23.323828082966084
222,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2035,BkWh,329.5084764982797
223,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2035,BkWh,271.2195815576099
224,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2035,BkWh,2.167595021396132
225,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2035,BkWh,22.419540830755857
226,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2035,BkWh,0.49592364411980827
227,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2035,BkWh,962.0117114851281
228,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2035,BkWh,651.2003404649023
229,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2035,BkWh,72.75830018412522
230,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2035,BkWh,1.782229665349126
231,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2035,BkWh,11.42361946574738
232,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2035,BkWh,6.6258405015961195
