,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Scope,Formula,"Emissions Category, Detailed","Emissions Category, Aggregate",Year,EF_Unit (Numerator),Total Emissions
43,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2036,g,16883.23143204289
44,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2036,g,2438.8880825936
45,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2035,g,106051701.41842943
46,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2035,g,17048.82210167225
47,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2035,g,2462.808687625481
48,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2034,g,105939534.87606144
49,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2034,g,17030.79026058894
50,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2034,g,2460.2038757147807
51,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2033,g,106605958.02849115
52,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2033,g,17137.924136031274
53,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2033,g,2475.680032226056
54,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2032,g,103803170.67866944
55,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2032,g,16687.349347726897
56,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2032,g,2410.5916937799534
57,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2031,g,104933547.42858501
58,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2031,g,16869.068187306286
