,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
20,Electric Power,Electricity Generation,2042,Electricity,CH4,mmbtu,g,72916806442.76216,16050592043.42814,4.542935627886555,Mitigation,NREL Electric Power Decarb,7061823992.866893,19676337849.390278,0.35889930570010625,-4.184036322186449
21,Electric Power,Electricity Generation,2043,Electricity,CH4,mmbtu,g,72372855778.005,16199567763.13734,4.467579433982915,Mitigation,NREL Electric Power Decarb,7185563737.240162,20061594897.26058,0.35817509894097976,-4.109404335041935
22,Electric Power,Electricity Generation,2044,Electricity,CH4,mmbtu,g,70291171624.56277,16347461536.863773,4.299821808178298,Mitigation,NREL Electric Power Decarb,7294414203.266129,20444364856.99267,0.35679338802110994,-3.943028420157188
23,Electric Power,Electricity Generation,2045,Electricity,CH4,mmbtu,g,68869767651.58813,16495768269.39794,4.174996067285427,Mitigation,NREL Electric Power Decarb,7235485482.724671,20804173732.622536,0.34779009134012745,-3.8272059759453
24,Electric Power,Electricity Generation,2046,Electricity,CH4,mmbtu,g,67234357780.52652,16677505755.921148,4.031439638787459,Mitigation,NREL Electric Power Decarb,7437345610.892655,21199425467.551765,0.35082769682963316,-3.680611941957826
25,Electric Power,Electricity Generation,2047,Electricity,CH4,mmbtu,g,66443014221.52975,16854500570.708035,3.942152657848738,Mitigation,NREL Electric Power Decarb,7480594267.490683,21584658789.478165,0.34656995695189,-3.595582700896848
26,Electric Power,Electricity Generation,2048,Electricity,CH4,mmbtu,g,64817211581.93359,17024732629.556435,3.8072381512415183,Mitigation,NREL Electric Power Decarb,7462197486.240618,21959862334.619858,0.3398107589443499,-3.4674273922971683
27,Electric Power,Electricity Generation,2049,Electricity,CH4,mmbtu,g,64548931304.69075,17203050810.750954,3.7521793090532083,Mitigation,NREL Electric Power Decarb,7456541207.4182,22348442001.700317,0.33364926319476274,-3.4185300458584456
28,Electric Power,Electricity Generation,2050,Electricity,CH4,mmbtu,g,63013753110.17045,17409696690.228886,3.6194630056672175,Mitigation,NREL Electric Power Decarb,7536685141.8225765,22726318358.222153,0.3316280720451969,-3.2878349336220207
29,Electric Power,Electricity Generation,2022,Electricity,CO2,mmbtu,g,1671312605122175.8,13745444904.472507,121590.28803631975,Mitigation,NREL Electric Power Decarb,1518809364961366.0,13084867517.185936,116073.72890604589,-5516.559130273861
30,Electric Power,Electricity Generation,2023,Electricity,CO2,mmbtu,g,1575637340613813.8,13592924392.515608,115915.99387409045,Mitigation,NREL Electric Power Decarb,1380797017648979.0,13244498721.877983,104254.38113169986,-11661.612742390585
31,Electric Power,Electricity Generation,2024,Electricity,CO2,mmbtu,g,1576019575342924.0,13769531763.183807,114457.02021304716,Mitigation,NREL Electric Power Decarb,1276960042311131.8,13390941751.362417,95359.98782021523,-19097.032392831927
32,Electric Power,Electricity Generation,2025,Electricity,CO2,mmbtu,g,1474250653412153.5,13888050861.461626,106152.45206964905,Mitigation,NREL Electric Power Decarb,1126998577254619.5,13558908878.046051,83118.67771892787,-23033.774350721185
33,Electric Power,Electricity Generation,2026,Electricity,CO2,mmbtu,g,1336522002738914.5,14017421872.871132,95347.20541767929,Mitigation,NREL Electric Power Decarb,941653678594537.2,13756483642.403957,68451.6263801541,-26895.57903752518
34,Electric Power,Electricity Generation,2027,Electricity,CO2,mmbtu,g,1196059873753376.0,14130780740.68322,84642.164909534,Mitigation,NREL Electric Power Decarb,746502720733742.9,14063845766.988962,53079.5582589475,-31562.606650586495
35,Electric Power,Electricity Generation,2028,Electricity,CO2,mmbtu,g,1077022912630633.1,14263952125.333183,75506.62699700246,Mitigation,NREL Electric Power Decarb,544162434153858.56,14368364076.633469,37872.260979160594,-37634.366017841865
36,Electric Power,Electricity Generation,2029,Electricity,CO2,mmbtu,g,988771489918622.5,14402074630.086279,68654.79559820189,Mitigation,NREL Electric Power Decarb,336452988507178.2,14700224981.764435,22887.608109708977,-45767.18748849291
37,Electric Power,Electricity Generation,2030,Electricity,CO2,mmbtu,g,927403810582039.1,14504818524.650194,63937.636241774686,Mitigation,NREL Electric Power Decarb,183979495792811.12,15006654312.95116,12259.860989403327,-51677.77525237136
38,Electric Power,Electricity Generation,2031,Electricity,CO2,mmbtu,g,898347904445412.0,14620996283.9863,61442.31808808616,Mitigation,NREL Electric Power Decarb,181794695210531.66,15323174173.62629,11864.0363380735,-49578.28175001266
