,Year,Sector,Formula,EF_Unit (Numerator),Total Emissions,End Use Application,Energy carrier,Case,Mitigation Case
115,2048,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
116,2049,Electric Power,CH4,g,134899234029.57745,Electricity Generation,Electricity,Reference case,-
117,2049,Electric Power,CO2,g,1510306848919074.5,Electricity Generation,Electricity,Reference case,-
118,2049,Electric Power,N2O,g,24442977441.630516,Electricity Generation,Electricity,Reference case,-
119,2049,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
120,2050,Electric Power,CH4,g,135022642296.51846,Electricity Generation,Electricity,Reference case,-
121,2050,Electric Power,CO2,g,1522674062401858.0,Electricity Generation,Electricity,Reference case,-
122,2050,Electric Power,N2O,g,24462278070.935818,Electricity Generation,Electricity,Reference case,-
123,2050,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
124,2020,Electric Power,CH4,g,146587253417.099,,Electricity,Mitigation,NREL Electric Power Decarb
125,2021,Electric Power,CH4,g,198310103249.25452,,Electricity,Mitigation,NREL Electric Power Decarb
126,2022,Electric Power,CH4,g,123691716374.43309,,Electricity,Mitigation,NREL Electric Power Decarb
127,2023,Electric Power,CH4,g,101980496446.11185,,Electricity,Mitigation,NREL Electric Power Decarb
128,2024,Electric Power,CH4,g,73154241966.87445,,Electricity,Mitigation,NREL Electric Power Decarb
129,2025,Electric Power,CH4,g,58951061259.29692,,Electricity,Mitigation,NREL Electric Power Decarb
130,2026,Electric Power,CH4,g,49385945161.55657,,Electricity,Mitigation,NREL Electric Power Decarb
131,2027,Electric Power,CH4,g,40261163287.75626,,Electricity,Mitigation,NREL Electric Power Decarb
132,2028,Electric Power,CH4,g,29721637945.354767,,Electricity,Mitigation,NREL Electric Power Decarb
133,2029,Electric Power,CH4,g,18879842761.383194,,Electricity,Mitigation,NREL Electric Power Decarb
134,2030,Electric Power,CH4,g,8556117125.666288,,Electricity,Mitigation,NREL Electric Power Decarb
135,2031,Electric Power,CH4,g,8370334163.1320915,,Electricity,Mitigation,NREL Electric Power Decarb
136,2032,Electric Power,CH4,g,8240862671.109704,,Electricity,Mitigation,NREL Electric Power Decarb
137,2033,Electric Power,CH4,g,7901289233.626648,,Electricity,Mitigation,NREL Electric Power Decarb
138,2034,Electric Power,CH4,g,7921690570.422437,,Electricity,Mitigation,NREL Electric Power Decarb
139,2035,Electric Power,CH4,g,6329387364.560079,,Electricity,Mitigation,NREL Electric Power Decarb
140,2036,Electric Power,CH4,g,6462727794.279215,,Electricity,Mitigation,NREL Electric Power Decarb
141,2037,Electric Power,CH4,g,6501747038.899763,,Electricity,Mitigation,NREL Electric Power Decarb
142,2038,Electric Power,CH4,g,6598309723.5295105,,Electricity,Mitigation,NREL Electric Power Decarb
143,2039,Electric Power,CH4,g,6696510358.0099125,,Electricity,Mitigation,NREL Electric Power Decarb
144,2040,Electric Power,CH4,g,6801419316.348751,,Electricity,Mitigation,NREL Electric Power Decarb
145,2041,Electric Power,CH4,g,6929122299.146066,,Electricity,Mitigation,NREL Electric Power Decarb
146,2042,Electric Power,CH4,g,7090947371.746208,,Electricity,Mitigation,NREL Electric Power Decarb
147,2043,Electric Power,CH4,g,7220128953.270608,,Electricity,Mitigation,NREL Electric Power Decarb
148,2044,Electric Power,CH4,g,7334661121.723518,,Electricity,Mitigation,NREL Electric Power Decarb
149,2045,Electric Power,CH4,g,7286742292.302341,,Electricity,Mitigation,NREL Electric Power Decarb
150,2046,Electric Power,CH4,g,7487408840.991592,,Electricity,Mitigation,NREL Electric Power Decarb
151,2047,Electric Power,CH4,g,7532870522.013734,,Electricity,Mitigation,NREL Electric Power Decarb
152,2048,Electric Power,CH4,g,7517467779.81313,,Electricity,Mitigation,NREL Electric Power Decarb
153,2049,Electric Power,CH4,g,7514211271.309408,,Electricity,Mitigation,NREL Electric Power Decarb
154,2050,Electric Power,CH4,g,7595749300.242455,,Electricity,Mitigation,NREL Electric Power Decarb
155,2020,Electric Power,CO2,g,1641662715579607.2,,Electricity,Mitigation,NREL Electric Power Decarb
156,2021,Electric Power,CO2,g,1793205272145869.0,,Electricity,Mitigation,NREL Electric Power Decarb
157,2022,Electric Power,CO2,g,1518228613558730.0,,Electricity,Mitigation,NREL Electric Power Decarb
158,2023,Electric Power,CO2,g,1380182522606522.2,,Electricity,Mitigation,NREL Electric Power Decarb
159,2024,Electric Power,CO2,g,1276459728684790.0,,Electricity,Mitigation,NREL Electric Power Decarb
160,2025,Electric Power,CO2,g,1126373274478401.5,,Electricity,Mitigation,NREL Electric Power Decarb
161,2026,Electric Power,CO2,g,941349162296123.1,,Electricity,Mitigation,NREL Electric Power Decarb
162,2027,Electric Power,CO2,g,746324551599587.5,,Electricity,Mitigation,NREL Electric Power Decarb
163,2028,Electric Power,CO2,g,544106063995451.44,,Electricity,Mitigation,NREL Electric Power Decarb
164,2029,Electric Power,CO2,g,336398189884516.06,,Electricity,Mitigation,NREL Electric Power Decarb
165,2030,Electric Power,CO2,g,184001672329908.62,,Electricity,Mitigation,NREL Electric Power Decarb
166,2031,Electric Power,CO2,g,181852172343608.38,,Electricity,Mitigation,NREL Electric Power Decarb
167,2032,Electric Power,CO2,g,180967387443321.16,,Electricity,Mitigation,NREL Electric Power Decarb
168,2033,Electric Power,CO2,g,178570068210327.88,,Electricity,Mitigation,NREL Electric Power Decarb
169,2034,Electric Power,CO2,g,174217648068110.97,,Electricity,Mitigation,NREL Electric Power Decarb
170,2035,Electric Power,CO2,g,155708885208573.4,,Electricity,Mitigation,NREL Electric Power Decarb
171,2036,Electric Power,CO2,g,157167773446978.94,,Electricity,Mitigation,NREL Electric Power Decarb
172,2037,Electric Power,CO2,g,159175915025958.0,,Electricity,Mitigation,NREL Electric Power Decarb
173,2038,Electric Power,CO2,g,159515719558763.8,,Electricity,Mitigation,NREL Electric Power Decarb
174,2039,Electric Power,CO2,g,161363294601195.1,,Electricity,Mitigation,NREL Electric Power Decarb
175,2040,Electric Power,CO2,g,163459048696758.62,,Electricity,Mitigation,NREL Electric Power Decarb
176,2041,Electric Power,CO2,g,163945877509747.03,,Electricity,Mitigation,NREL Electric Power Decarb
177,2042,Electric Power,CO2,g,166072222301049.4,,Electricity,Mitigation,NREL Electric Power Decarb
178,2043,Electric Power,CO2,g,167642664185703.34,,Electricity,Mitigation,NREL Electric Power Decarb
179,2044,Electric Power,CO2,g,168112770276590.66,,Electricity,Mitigation,NREL Electric Power Decarb
180,2045,Electric Power,CO2,g,169362344478456.78,,Electricity,Mitigation,NREL Electric Power Decarb
181,2046,Electric Power,CO2,g,170342970222775.56,,Electricity,Mitigation,NREL Electric Power Decarb
182,2047,Electric Power,CO2,g,170666418500659.84,,Electricity,Mitigation,NREL Electric Power Decarb
183,2048,Electric Power,CO2,g,171223324585390.62,,Electricity,Mitigation,NREL Electric Power Decarb
184,2049,Electric Power,CO2,g,171692263949375.56,,Electricity,Mitigation,NREL Electric Power Decarb
185,2050,Electric Power,CO2,g,172444294061474.12,,Electricity,Mitigation,NREL Electric Power Decarb
186,2020,Electric Power,N2O,g,28327506009.490044,,Electricity,Mitigation,NREL Electric Power Decarb
187,2021,Electric Power,N2O,g,34226136294.76813,,Electricity,Mitigation,NREL Electric Power Decarb
188,2022,Electric Power,N2O,g,25232960466.186604,,Electricity,Mitigation,NREL Electric Power Decarb
189,2023,Electric Power,N2O,g,22101437048.1728,,Electricity,Mitigation,NREL Electric Power Decarb
190,2024,Electric Power,N2O,g,18423525045.0891,,Electricity,Mitigation,NREL Electric Power Decarb
191,2025,Electric Power,N2O,g,15740371212.60962,,Electricity,Mitigation,NREL Electric Power Decarb
192,2026,Electric Power,N2O,g,13019843782.838558,,Electricity,Mitigation,NREL Electric Power Decarb
193,2027,Electric Power,N2O,g,10665982117.319344,,Electricity,Mitigation,NREL Electric Power Decarb
194,2028,Electric Power,N2O,g,7838806828.180596,,Electricity,Mitigation,NREL Electric Power Decarb
195,2029,Electric Power,N2O,g,5036645042.3458805,,Electricity,Mitigation,NREL Electric Power Decarb
196,2030,Electric Power,N2O,g,2664989575.370407,,Electricity,Mitigation,NREL Electric Power Decarb
197,2031,Electric Power,N2O,g,2649671284.437855,,Electricity,Mitigation,NREL Electric Power Decarb
198,2032,Electric Power,N2O,g,2626505523.410985,,Electricity,Mitigation,NREL Electric Power Decarb
199,2033,Electric Power,N2O,g,2541212885.5709014,,Electricity,Mitigation,NREL Electric Power Decarb
200,2034,Electric Power,N2O,g,2588980532.492765,,Electricity,Mitigation,NREL Electric Power Decarb
201,2035,Electric Power,N2O,g,2439119158.952201,,Electricity,Mitigation,NREL Electric Power Decarb
202,2036,Electric Power,N2O,g,2478561580.677434,,Electricity,Mitigation,NREL Electric Power Decarb
203,2037,Electric Power,N2O,g,2467860501.925966,,Electricity,Mitigation,NREL Electric Power Decarb
204,2038,Electric Power,N2O,g,2505909665.1369295,,Electricity,Mitigation,NREL Electric Power Decarb
205,2039,Electric Power,N2O,g,2528772004.229187,,Electricity,Mitigation,NREL Electric Power Decarb
206,2040,Electric Power,N2O,g,2549847501.058617,,Electricity,Mitigation,NREL Electric Power Decarb
207,2041,Electric Power,N2O,g,2602344955.134327,,Electricity,Mitigation,NREL Electric Power Decarb
208,2042,Electric Power,N2O,g,2652061572.678323,,Electricity,Mitigation,NREL Electric Power Decarb
209,2043,Electric Power,N2O,g,2695076051.9731174,,Electricity,Mitigation,NREL Electric Power Decarb
210,2044,Electric Power,N2O,g,2739565189.379351,,Electricity,Mitigation,NREL Electric Power Decarb
211,2045,Electric Power,N2O,g,2714215837.1826935,,Electricity,Mitigation,NREL Electric Power Decarb
212,2046,Electric Power,N2O,g,2811824088.8413196,,Electricity,Mitigation,NREL Electric Power Decarb
213,2047,Electric Power,N2O,g,2833093241.8214464,,Electricity,Mitigation,NREL Electric Power Decarb
214,2048,Electric Power,N2O,g,2858737622.733507,,Electricity,Mitigation,NREL Electric Power Decarb
215,2049,Electric Power,N2O,g,2846825442.5706882,,Electricity,Mitigation,NREL Electric Power Decarb
216,2050,Electric Power,N2O,g,2868719046.444277,,Electricity,Mitigation,NREL Electric Power Decarb
217,2020,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
218,2021,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
219,2022,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
220,2023,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
221,2024,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
222,2025,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
223,2026,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
224,2027,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
225,2028,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
226,2029,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
227,2030,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
228,2031,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
229,2032,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
230,2033,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
231,2034,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
232,2035,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
233,2036,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
234,2037,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
