"Table A-6: 2019 Key Category Approach 1 and Approach 2 Analysis—Level Assessment, without LULUCF",,,,,,
CRF Source/Sink Category,Greenhouse Gas,2019 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertainty a,Approach 2 Level Assessment
1.A.5 N2O Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,<0.01,1,197%,<0.001
1.B.2.a N2O Emissions from Petroleum Systems,N2O,+,<0.01,1,41%,<0.001
1.A.5 CH4 Emissions from Stationary Combustion - U.S. Territories,CH4,+,<0.01,1,55%,<0.001
1.A.3.a CH4 Emissions from Mobile Combustion: Aviation,CH4,+,<0.01,1,89%,<0.001
1.A.1 N2O Emissions from Stationary Combustion - Wood - Electricity Generation,N2O,+,<0.01,1,2%,<0.001
1.B.2.a N2O Emissions from Natural Gas Systems,N2O,+,<0.01,1,19%,<0.001
2.C.2 CH4 Emissions from Ferroalloy Production,CH4,+,<0.01,1,12%,<0.001
2.B.5 CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+,<0.01,1,9%,<0.001
2.C.1 CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+,<0.01,1,19%,<0.001
1.B.2 CO2 Emissions from Abandoned Oil and Gas Wells,CO2,+,<0.01,1,219%,<0.001
1.A.1 N2O Emissions from Stationary Combustion - Oil - Electricity Generation,N2O,+,<0.01,1,9%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Wood - Electricity Generation,CH4,+,<0.01,1,2%,<0.001
2.C.4 CO2 Emissions from Magnesium Production and Processing,CO2,+,<0.01,1,6%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Oil - Electricity Generation,CH4,+,<0.01,1,9%,<0.001
1.A.5.b CH4 Emissions from Mobile Combustion: Military,CH4,+,<0.01,1,46%,<0.001
1.A.5.b N2O Emissions from Mobile Combustion: Military,N2O,+,<0.01,1,19%,<0.001
5.C.1 CH4 Emissions from Incineration of Waste,CH4,+,<0.01,1,NE,<0.001
1.A.4.b CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,0,<0.01,1,NE,<0.001
Note: LULUCF sources and sinks are not included in this analysis. ,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,
NE (Not Estimated),,,,,,
NA (Not Available),,,,,,
"a Percent relative uncertainty. If the corresponding uncertainty is asymmetrical, the uncertainty given here is the larger and always positive.",,,,,,
