"Table A-5: 1990 Key Category Approach 1 and Approach 2 Analysis—Level Assessment, with LULUCF",,,,,,
CRF Source/Sink Category,Greenhouse Gas,1990 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertainty a,Approach 2 Level Assessment
2.B.6 CO2 Emissions from Titanium Dioxide Production,CO2,1.2,<0.01,1,13%,<0.001
1.A.4.a CH4 Emissions from Stationary Combustion - Commercial,CH4,1.1,<0.01,1,141%,<0.001
1.A.4.b N2O Emissions from Stationary Combustion - Residential,N2O,1,<0.01,1,219%,<0.001
4.A.1 CH4 Emissions from Forest Fires,CH4,0.9,<0.01,1,18%,<0.001
1.A.3.e CH4 Emissions from Mobile Combustion: Other,CH4,0.7,<0.01,1,86%,<0.001
2.C.6 CO2 Emissions from Zinc Production,CO2,0.6,<0.01,1,21%,<0.001
4.A.1 N2O Emissions from Forest Fires,N2O,0.6,<0.01,1,14%,<0.001
1.A.1 CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.5,<0.01,1,NA,<0.001
2.C.5 CO2 Emissions from Lead Production,CO2,0.5,<0.01,1,16%,<0.001
1.A.5 CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,0.5,<0.01,1,19%,<0.001
5.C.1 N2O Emissions from Incineration of Waste,N2O,0.5,<0.01,1,325%,<0.001
4.D.2 Net CO2 Emissions from Land Converted to Wetlands,CO2,0.4,<0.01,1,37%,<0.001
1.A.4.a N2O Emissions from Stationary Combustion - Commercial,N2O,0.4,<0.01,1,174%,<0.001
5.B.1 CH4 Emissions from Composting,CH4,0.4,<0.01,1,50%,<0.001
3.F CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.4,<0.01,1,18%,<0.001
2.B.5 CO2 Emissions from Silicon Carbide Production and Consumption,CO2,0.4,<0.01,1,9%,<0.001
1.A.3.d CH4 Emissions from Mobile Combustion: Marine,CH4,0.4,<0.01,1,38%,<0.001
5.B.1 N2O Emissions from Composting,N2O,0.3,<0.01,1,50%,<0.001
1.A.1 N2O Emissions from Stationary Combustion - Gas - Electricity Generation,N2O,0.3,<0.01,1,47%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Coal - Electricity Generation,CH4,0.3,<0.01,1,10%,<0.001
1.A.3.d N2O Emissions from Mobile Combustion: Marine,N2O,0.3,<0.01,1,28%,<0.001
1.A.3.c N2O Emissions from Mobile Combustion: Railways,N2O,0.3,<0.01,1,71%,<0.001
4.D.2 CH4 Emissions from Land Converted to Coastal Wetlands,CH4,0.2,<0.01,1,30%,<0.001
2.B.8 CH4 Emissions from Petrochemical Production,CH4,0.2,<0.01,1,57%,<0.001
2.F.4 Emissions from Substitutes for Ozone Depleting Substances: Aerosols,"HFCs, PFCs",0.2,<0.01,1,65%,<0.001
3.F N2O Emissions from Field Burning of Agricultural Residues,N2O,0.2,<0.01,1,17%,<0.001
4.D.1 N2O Emissions from Coastal Wetlands Remaining Coastal Wetlands,N2O,0.1,<0.01,1,116%,<0.001
4.A.4 N2O Emissions from Drained Organic Soils,N2O,0.1,<0.01,1,128%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Gas - Electricity Generation,CH4,0.1,<0.01,1,2%,<0.001
4.A.1 N2O Emissions from Forest Soils,N2O,0.1,<0.01,1,318%,<0.001
4.C.1 N2O Emissions from Grass Fires,N2O,0.1,<0.01,1,146%,<0.001
1.A.1 N2O Emissions from Stationary Combustion - Oil - Electricity Generation,N2O,0.1,<0.01,1,9%,<0.001
4.C.1 CH4 Emissions from Grass Fires,CH4,0.1,<0.01,1,146%,<0.001
1.A.3.c CH4 Emissions from Mobile Combustion: Railways,CH4,0.1,<0.01,1,25%,<0.001
1.A.3.a CH4 Emissions from Mobile Combustion: Aviation,CH4,0.1,<0.01,1,89%,<0.001
1.A.5 N2O Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,<0.01,1,197%,<0.001
1.A.5 CH4 Emissions from Stationary Combustion - U.S. Territories,CH4,+,<0.01,1,55%,<0.001
2.E N2O Emissions from Electronics Industry,N2O,+,<0.01,1,9%,<0.001
2.B.5 CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+,<0.01,1,9%,<0.001
2.C.1 CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+,<0.01,1,19%,<0.001
2.C.2 CH4 Emissions from Ferroalloy Production,CH4,+,<0.01,1,12%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Oil - Electricity Generation,CH4,+,<0.01,1,9%,<0.001
1.B.2.a N2O Emissions from Petroleum Systems,N2O,+,<0.01,1,41%,<0.001
5.B.2 CH4 Emissions from Anaerobic Digestion at Biogas Facilities,CH4,+,<0.01,1,50%,<0.001
2.F.1 Emissions from Substitutes for Ozone Depleting Substances: Refrigeration and Air conditioning,"HFCs, PFCs",+,<0.01,1,14%,<0.001
4.A.4 CH4 Emissions from Drained Organic Soils,CH4,+,<0.01,1,80%,<0.001
1.B.2 CO2 Emissions from Abandoned Oil and Gas Wells,CO2,+,<0.01,1,219%,<0.001
4.D.1 CH4 Emissions from Peatlands Remaining Peatlands,CH4,+,<0.01,1,78%,<0.001
2.F.2 Emissions from Substitutes for Ozone Depleting Substances: Foam Blowing Agents,"HFCs, PFCs",+,<0.01,1,9%,<0.001
1.B.2.b N2O Emissions from Natural Gas Systems,N2O,+,<0.01,1,19%,<0.001
1.A.1 N2O Emissions from Stationary Combustion - Wood - Electricity Generation,N2O,+,<0.01,1,2%,<0.001
2.C.4 CO2 Emissions from Magnesium Production and Processing,CO2,+,<0.01,1,6%,<0.001
1.A.5.b CH4 Emissions from Mobile Combustion: Military,CH4,+,<0.01,1,46%,<0.001
4.D.1 N2O Emissions from Peatlands Remaining Peatlands,N2O,+,<0.01,1,53%,<0.001
1.A.5.b N2O Emissions from Mobile Combustion: Military,N2O,+,<0.01,1,19%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Wood - Electricity Generation,CH4,+,<0.01,1,2%,<0.001
5.C.1 CH4 Emissions from Incineration of Waste,CH4,+,<0.01,1,NE,<0.001
2.C.4 HFC-134a Emissions from Magnesium Production and Processing,HFCs,0,<0.01,1,19%,<0.001
1.A.5 CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,0,<0.01,1,17%,<0.001
2.F.3 Emissions from Substitutes for Ozone Depleting Substances: Fire Protection,"HFCs, PFCs",0,<0.01,1,17%,<0.001
2.F.5 Emissions from Substitutes for Ozone Depleting Substances: Solvents,"HFCs, PFCs",0,<0.01,1,24%,<0.001
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,
NE (Not Estimated),,,,,,
NA (Not Available),,,,,,
"a Percent relative uncertainty. If the corresponding uncertainty is asymmetrical, the uncertainty given here is the larger and always positive.",,,,,,
