Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,NF3,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electronics Industry,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,"Unspecified Mix of HFCs, PFCs, SF6, and NF3",M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M - Mixture of multiple gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c LULUCF emissions of LULUCF CH4 and N2O are reported separately from gross emissions totals. Refer to Table 2-8 for a breakout of emissions and removals for LULUCF by gas and source category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Small amounts of PFC emissions also result from this source. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
