,Sector,Year,Energy Unit,Emissions Unit,CI_Reference,CI_Mitigation,baseline_CI,CI_Reference_perc,CI_Mitigation_perc
70,Industrial,2028,MJ,g,73.18582663617553,63.578237599684954,78.06695144573635,-6.252485487349461,-18.559343714250677
71,Industrial,2029,MJ,g,73.04260527167963,61.325626008713265,78.06695144573635,-6.435945148375745,-21.444830529420422
72,Industrial,2030,MJ,g,72.65898259514803,59.41831614649751,78.06695144573635,-6.927347296694876,-23.888002482332542
73,Industrial,2031,MJ,g,72.33064103513641,58.61538991438557,78.06695144573635,-7.3479370007002265,-24.916512264311223
74,Industrial,2032,MJ,g,72.0800835412635,57.69806718883877,78.06695144573635,-7.668889067141638,-26.091558437574975
75,Industrial,2033,MJ,g,71.91574128054646,56.54507764373363,78.06695144573635,-7.8794035776657,-27.56848244159039
76,Industrial,2034,MJ,g,71.71056258501643,55.007111541199315,78.06695144573635,-8.142227591835947,-29.538542850063422
77,Industrial,2035,MJ,g,71.31601932810847,53.383954333667226,78.06695144573635,-8.64761847696896,-31.61772895567218
78,Industrial,2036,MJ,g,71.14818042775529,51.93956592692476,78.06695144573635,-8.86261201424041,-33.467920848648106
79,Industrial,2037,MJ,g,70.91090158660313,50.57359288169075,78.06695144573635,-9.166554766913533,-35.21766644513586
80,Industrial,2038,MJ,g,70.63447713479472,49.34943236720004,78.06695144573635,-9.520641159028575,-36.785757028693
81,Industrial,2039,MJ,g,70.49212618315627,48.3440952465383,78.06695144573635,-9.702985863160382,-38.07354539757857
82,Industrial,2040,MJ,g,70.44143139677666,47.562388377103126,78.06695144573635,-9.767923439741486,-39.07487419927839
83,Industrial,2041,MJ,g,70.28035173291411,46.82803060117901,78.06695144573635,-9.97425872103464,-40.01555109561469
84,Industrial,2042,MJ,g,70.08468982033651,46.12037192603705,78.06695144573635,-10.224892195192536,-40.92202773142113
85,Industrial,2043,MJ,g,69.87841591291591,45.474323557965285,78.06695144573635,-10.489119122977689,-41.74958453504607
86,Industrial,2044,MJ,g,69.73729665094137,44.8917027391472,78.06695144573635,-10.669886092048625,-42.49589370688949
87,Industrial,2045,MJ,g,69.50345607377201,44.29126755596742,78.06695144573635,-10.969424594371084,-43.26502222037722
